Natural_convection_horizontal_09_02V_1_01A,Natural_convection_horizontal_15V_1_64A,Natural_convection_horizontal_20_4V_2_28A,Natural_convection_horizontal_25V_2_62A,Natural_convection_horizontal_28_7V_2_99A
2.980532275553309773e+02,3.037722905596062333e+02,3.102077741629006482e+02,3.183106540492948966e+02,3.232841439082265538e+02
2.980667499929448354e+02,3.037540448094455883e+02,3.101243534267228483e+02,3.182245612588276344e+02,3.232025545646361593e+02
2.979920016968467280e+02,3.036870206475690566e+02,3.100074579158118695e+02,3.181334859646540849e+02,3.230440052128438992e+02
2.980532275553309773e+02,3.037175371936240253e+02,3.100297522318466008e+02,3.181132027115277197e+02,3.230006528818582865e+02
2.979784558167181672e+02,3.036199237374111135e+02,3.099127156489396384e+02,3.179609835645177327e+02,3.228127808074079894e+02
2.979784558167181672e+02,3.036199237374111135e+02,3.098847786411255925e+02,3.178949948502663574e+02,3.227742657023392212e+02
2.979988375226963626e+02,3.035588946793967011e+02,3.097619066050095853e+02,3.177373931305914425e+02,3.225666044741518022e+02
2.979920016968467280e+02,3.035954962194475115e+02,3.097787599948850357e+02,3.177730074486044600e+02,3.226293989290184072e+02
2.979035538612942560e+02,3.034978049264184961e+02,3.096948809520079635e+02,3.176049483706551655e+02,3.223682348778213509e+02
2.978558323774348651e+02,3.033998413775872223e+02,3.095997581140838406e+02,3.175335746649583939e+02,3.223972677556720328e+02
2.978285204460497084e+02,3.033385922790052973e+02,3.094876054422567790e+02,3.173140746753507528e+02,3.220771455727775674e+02
2.978489736830528614e+02,3.033692826465661483e+02,3.094483401745878268e+02,3.172833256830297159e+02,3.220673751277430483e+02
2.978489736830528614e+02,3.032711119376707529e+02,3.093865820176848160e+02,3.171195114483941779e+02,3.218484772199137751e+02
2.978011909493783378e+02,3.032404883050920148e+02,3.092685715196533920e+02,3.169657212299074445e+02,3.217412450136974940e+02
2.977192262665661247e+02,3.031360415947243041e+02,3.090997156124938101e+02,3.168270765197832475e+02,3.215509815961761433e+02
2.977533543061533123e+02,3.031728983770357218e+02,3.091673667435977109e+02,3.167653340929149408e+02,3.214825607312313878e+02
2.976849406282368591e+02,3.030745244174279946e+02,3.089700170800466594e+02,3.165284091029988645e+02,3.212082918233975306e+02
2.977328548417212915e+02,3.030929745172855974e+02,3.089981799841268071e+02,3.164768380701149226e+02,3.211494900500590006e+02
2.976438649170906956e+02,3.029696712707192887e+02,3.088456758589509263e+02,3.162805583400169667e+02,3.209137316738721779e+02
2.975958488452018855e+02,3.028956839419533367e+02,3.087211303997993923e+02,3.161201189432166530e+02,3.206970258315724323e+02
2.975958488452018855e+02,3.028462296453869840e+02,3.085850768926785008e+02,3.159333955201263961e+02,3.205243337461286046e+02
2.975821756326024570e+02,3.027967340119493542e+02,3.085340337566876201e+02,3.158087284497620999e+02,3.203761005254254997e+02
2.974996502696756693e+02,3.027039645644416623e+02,3.083804796976189095e+02,3.155796345978716886e+02,3.201085791614135587e+02
2.975408682761920431e+02,3.027348647986532910e+02,3.083350216028702562e+02,3.154544693286404708e+02,3.199795741652344532e+02
2.974101596487229813e+02,3.025798473101457944e+02,3.081239964690236661e+02,3.151879152762201102e+02,3.196909789797670101e+02
2.974583911485308363e+02,3.024928670233230719e+02,3.079982426446958925e+02,3.150149379500173268e+02,3.194665103631726311e+02
2.973825546486064582e+02,3.024120166079075602e+02,3.078552083145979736e+02,3.147681038560095317e+02,3.191412485132351549e+02
2.973342338175344821e+02,3.023185141866127879e+02,3.077576288814242389e+02,3.145310776766609706e+02,3.189707136767131601e+02
2.973549310316545871e+02,3.022936650239100800e+02,3.075911061555633523e+02,3.143409506977167212e+02,3.186891032870628351e+02
2.972651233116225740e+02,3.022124160482987918e+02,3.074126086523884283e+02,3.140072712900409329e+02,3.184117128189648724e+02
2.972096974488390515e+02,3.020247228916643394e+02,3.071237196611736522e+02,3.136615810072659087e+02,3.180270210819949739e+02
2.971403737128773059e+02,3.019117602761810986e+02,3.070020515039321936e+02,3.133948293217226819e+02,3.177577596543492859e+02
2.970082346913939659e+02,3.016851505246292504e+02,3.066881832985122855e+02,3.129714751400229034e+02,3.171758650380368749e+02
2.970013651932999892e+02,3.016284135812245495e+02,3.064723957949033775e+02,3.126539669689341849e+02,3.168424811606877256e+02
2.968687614444311293e+02,3.013182011856022768e+02,3.061444506549816538e+02,3.121130690828864545e+02,3.162339486253666223e+02
2.967357075372975146e+02,3.010635957246947214e+02,3.057323104838001200e+02,3.115357542413679539e+02,3.156265877678608831e+02
2.965670742885813524e+02,3.007373213020068192e+02,3.052878838606428076e+02,3.109102495687563419e+02,3.147838694288324746e+02
2.963905792672910025e+02,3.004605616000443433e+02,3.046786984661602560e+02,3.101354320608202784e+02,3.138053926184047668e+02
2.961207522358728852e+02,2.998633814735920851e+02,3.038999763646145880e+02,3.089134456177545189e+02,3.124217628835627352e+02
2.958561420508694937e+02,2.993315874602676558e+02,3.030374903002826272e+02,3.076428037628206766e+02,3.109322920604633964e+02
2.953862730524979838e+02,2.986467289195066428e+02,3.018802951603872202e+02,3.059622537212518409e+02,3.089304857712562580e+02
2.949395173112857265e+02,2.977123454061866141e+02,3.005636491577177480e+02,3.041242652482055178e+02,3.066881832985122855e+02
