h1,h2,h3,h4,h5
-5.752095371482910391e-01,2.293672845218142076e+00,4.340008530542450949e+00,6.546841132362786198e+00,7.365648455756198310e+00
-5.805460070406431861e-01,2.283819110002834218e+00,4.326932689991887848e+00,6.530290472333025953e+00,7.378722411208060272e+00
-5.797846978851861621e-01,2.285224699260038239e+00,4.328797835685302964e+00,6.532651218104708057e+00,7.444615439846231197e+00
-5.881400510399974468e-01,2.269801307886056385e+00,4.308332906560583986e+00,6.506749336503704129e+00,7.497966700258898776e+00
-5.866240061450116450e-01,2.272599341293998432e+00,4.312045365341403702e+00,6.511447940294490699e+00,7.581025152689107038e+00
-5.904115361906555615e-01,2.265609421254984657e+00,4.302771223069356665e+00,6.499710421104467173e+00,7.645712691465909039e+00
-5.941904772381687572e-01,2.258636675880376199e+00,4.293520379503394047e+00,6.488002804979199567e+00,7.709241350152426620e+00
-5.956996564061473043e-01,2.255852371164616343e+00,4.289826544676629716e+00,6.483328104346449905e+00,7.799944318964991297e+00
-5.972074689903889011e-01,2.253070798948431097e+00,4.286136416639057423e+00,6.478658161207381916e+00,7.877811436173394632e+00
-5.987139171670404769e-01,2.250291954841232123e+00,4.282449989420559433e+00,6.473992967888463568e+00,7.859262189871574655e+00
-6.039757723829871638e-01,2.240587421158726222e+00,4.269576552216451049e+00,6.457702085710079309e+00,7.691293237605091981e+00
-6.062257677716952342e-01,2.236438502935720329e+00,4.264073157566184769e+00,6.450737981187275594e+00,7.571296159601818232e+00
-6.092210327989616703e-01,2.230916066329405645e+00,4.256748123050338783e+00,6.441468968533699879e+00,7.480755669985278189e+00
-6.137038319087926297e-01,2.222652600619420937e+00,4.245787958087097635e+00,6.427600598493417472e+00,7.418152987496669404e+00
-6.129575382606277101e-01,2.224028166504454784e+00,4.247612375497729964e+00,6.429909071470872206e+00,7.388082179291826534e+00
-6.174302775297337842e-01,2.215784812135930260e+00,4.236679491477872261e+00,6.416075714297615917e+00,7.348889818778826744e+00
-6.129575382606277101e-01,2.224028166504454784e+00,4.247612375497729964e+00,6.429909071470872206e+00,7.348889818778826744e+00
-6.181745639822358029e-01,2.214413258890495673e+00,4.234860517163352434e+00,6.413774227065456301e+00,7.304476937104474210e+00
-6.226332861452742451e-01,2.206197925888730982e+00,4.223965643563335703e+00,6.399989652820264219e+00,7.291598421993723989e+00
-6.181745639822358029e-01,2.214413258890495673e+00,4.234860517163352434e+00,6.413774227065456301e+00,7.286089390254037568e+00
-6.181745639822358029e-01,2.214413258890495673e+00,4.234860517163352434e+00,6.413774227065456301e+00,7.273259009299724909e+00
-6.285596649938819391e-01,2.195281297648934871e+00,4.209489536736818138e+00,6.381674892615910366e+00,7.236785026497579487e+00
-6.218909973930834001e-01,2.207565485651756365e+00,4.225779200830592330e+00,6.402284187788163550e+00,7.236785026497579487e+00
-6.307766058129983255e-01,2.191198458539037830e+00,4.204075777167762595e+00,6.374825826669330731e+00,7.205994897712598046e+00
-6.352016069136857679e-01,2.183050530851895488e+00,4.193272335411959872e+00,6.361158595231639623e+00,7.182580126140396537e+00
-6.388800959329262730e-01,2.176278603592264105e+00,4.184293899757085100e+00,6.349800591699541030e+00,7.175398204115905010e+00
-6.255991234585042138e-01,2.200734318823834634e+00,4.216720410521725526e+00,6.390823058431219117e+00,7.218649648830427701e+00
-6.410832712553220514e-01,2.172223278225514420e+00,4.178917460372684189e+00,6.342999421511790636e+00,7.168226884433734014e+00
-6.484060654883102570e-01,2.158747744174059680e+00,4.161053258758407480e+00,6.320402343114079002e+00,7.137866480680017389e+00
-6.469440990081722909e-01,2.161437670054763949e+00,4.164619071763991265e+00,6.324912740273943790e+00,7.137866480680017389e+00
-6.476752438913991883e-01,2.160092384072429095e+00,4.162835727095578697e+00,6.322656979375448572e+00,7.125420226050974470e+00
-6.564238381583223925e-01,2.143999201576671343e+00,4.141503747401631408e+00,6.295675316428551938e+00,7.098857068692901784e+00
-6.636790845553814933e-01,2.130658654612201719e+00,4.123822636396072383e+00,6.273313204986522784e+00,7.054907600031859793e+00
-6.571507999317198756e-01,2.142662275119443738e+00,4.139731741239853768e+00,6.293434106663828409e+00,7.088272585621256283e+00
-6.520553330034594142e-01,2.152034218137116373e+00,4.152154037831792266e+00,6.309146000247621622e+00,7.111235038541668274e+00
-6.651263123830851720e-01,2.127998181248700327e+00,4.120296771111931378e+00,6.268854073905615110e+00,7.065418954080358027e+00
-6.644028572432195690e-01,2.129328100676777691e+00,4.122059273458872575e+00,6.271083087243487952e+00,7.070683253393907464e+00
-6.665722710039229115e-01,2.125340243927400952e+00,4.116774345486805764e+00,6.264399356972441879e+00,7.046165654737009731e+00
-6.709025512796111812e-01,2.117381608566347939e+00,4.106227652652276738e+00,6.251061621764555376e+00,7.046165654737009731e+00
-6.730634310192861181e-01,2.113410803275521666e+00,4.100965851513776350e+00,6.244407570202092472e+00,7.009622303997718795e+00
-6.737830947228194978e-01,2.112088459324277689e+00,4.099213623749479396e+00,6.242191742247248598e+00,7.018297882664502829e+00
-6.752214792750873551e-01,2.109445655195515190e+00,4.095711723139581650e+00,6.237763365040047248e+00,7.023510776650847554e+00
-6.795291075550107252e-01,2.101532277773024315e+00,4.085226412762252401e+00,6.224504401476127491e+00,7.011356163627581850e+00
-6.795291075550107252e-01,2.101532277773024315e+00,4.085226412762252401e+00,6.224504401476127491e+00,7.028729342730797747e+00
-6.802459506906334274e-01,2.100215569011242955e+00,4.083481827819573695e+00,6.222298381436403680e+00,7.018297882664502829e+00
-6.852551248248902604e-01,2.091016043989203599e+00,4.071293381185269844e+00,6.206886587965344759e+00,6.983689486622020937e+00
-6.838254883524480521e-01,2.093641370926667911e+00,4.074771578244638093e+00,6.211284546920882832e+00,6.985413974220967326e+00
-6.852551248248902604e-01,2.091016043989203599e+00,4.071293381185269844e+00,6.206886587965344759e+00,6.975076370392528702e+00
-6.873972513128417949e-01,2.087082704683377976e+00,4.066082393575786824e+00,6.200297744342111450e+00,6.971635467392137464e+00
-6.902490839699121361e-01,2.081846914119227510e+00,4.059146157511480446e+00,6.191527694503128565e+00,6.992318151057705933e+00
-6.938069276195780732e-01,2.075316053585205545e+00,4.050494683535469598e+00,6.180589284462228328e+00,6.973355608999542987e+00
-6.952279098147331471e-01,2.072708014608976690e+00,4.047039932729385114e+00,6.176221413055317910e+00,6.976797751927380276e+00
-6.866835192611518979e-01,2.088393198281053298e+00,4.067818549255213689e+00,6.202492947364603992e+00,6.976797751927380276e+00
-6.888237862753704421e-01,2.084463573596119890e+00,4.062612599518440781e+00,6.195910568650358385e+00,6.959611800262379688e+00
-6.881106735715267764e-01,2.085772829948549401e+00,4.064347077214616633e+00,6.198103618383908220e+00,6.985413974220967326e+00
-6.916731462967389277e-01,2.079232722419270374e+00,4.055683062342576584e+00,6.187149115201047600e+00,6.963044043686344331e+00
-6.959379400140529581e-01,2.071404915767041999e+00,4.045313805904605431e+00,6.174039079582373191e+00,6.952754713923877006e+00
-6.945175724284647911e-01,2.074011727056560339e+00,4.048766891724200789e+00,6.178404814404991008e+00,6.956182024618126292e+00
-6.866835192611518979e-01,2.088393198281053298e+00,4.067818549255213689e+00,6.202492947364603992e+00,6.985413974220967326e+00
-6.852551248248902604e-01,2.091016043989203599e+00,4.071293381185269844e+00,6.206886587965344759e+00,6.997502831495495457e+00
-6.980661898434026291e-01,2.067499296128285646e+00,4.040140411996202552e+00,6.167498478128273121e+00,6.896557464195680609e+00
-6.930959751521494905e-01,2.076620994670840048e+00,4.052223308810314784e+00,6.182774824058769880e+00,6.889790622463906722e+00
-6.902490839699121361e-01,2.081846914119227510e+00,4.059146157511480446e+00,6.191527694503128565e+00,6.884721820286278771e+00
-6.930959751521494905e-01,2.076620994670840048e+00,4.052223308810314784e+00,6.182774824058769880e+00,6.862819462183742836e+00
-6.895365896622753787e-01,2.083154935146163567e+00,4.060878959834700375e+00,6.193718594302731972e+00,6.871231461203680446e+00
-6.866835192611518979e-01,2.088393198281053298e+00,4.067818549255213689e+00,6.202492947364603992e+00,6.911818227631939315e+00
-6.881106735715267764e-01,2.085772829948549401e+00,4.064347077214616633e+00,6.198103618383908220e+00,6.935655035968957272e+00
-6.895365896622753787e-01,2.083154935146163567e+00,4.060878959834700375e+00,6.193718594302731972e+00,6.933948440049363171e+00
-6.909612694356753737e-01,2.080539510036413464e+00,4.057414191897623645e+00,6.189337868414616750e+00,6.923721697280062592e+00
-6.909612694356753737e-01,2.080539510036413464e+00,4.057414191897623645e+00,6.189337868414616750e+00,6.927128169532139168e+00
-6.823946079295460931e-01,2.096269182955167842e+00,4.078253145684124448e+00,6.215686830980060584e+00,6.945907476088448718e+00
-6.888237862753704421e-01,2.084463573596119890e+00,4.062612599518440781e+00,6.195910568650358385e+00,6.951041982049913415e+00
-6.980661898434026291e-01,2.067499296128285646e+00,4.040140411996202552e+00,6.167498478128273121e+00,6.908422705765441485e+00
-6.895365896622753787e-01,2.083154935146163567e+00,4.060878959834700375e+00,6.193718594302731972e+00,6.945907476088448718e+00
-6.945175724284647911e-01,2.074011727056560339e+00,4.048766891724200789e+00,6.178404814404991008e+00,6.918616559816152645e+00
-6.816787006373492552e-01,2.097584022087588096e+00,4.079995194940339687e+00,6.217889597036447391e+00,6.973355608999542987e+00
-6.923847147900028531e-01,2.077926550789897409e+00,4.053952768196539935e+00,6.184961434027234084e+00,6.916916064846840406e+00
-6.923847147900028531e-01,2.077926550789897409e+00,4.053952768196539935e+00,6.184961434027234084e+00,6.923721697280062592e+00
-6.816787006373492552e-01,2.097584022087588096e+00,4.079995194940339687e+00,6.217889597036447391e+00,6.976797751927380276e+00
-6.930959751521494905e-01,2.076620994670840048e+00,4.052223308810314784e+00,6.182774824058769880e+00,6.925424628446291919e+00
-6.823946079295460931e-01,2.096269182955167842e+00,4.078253145684124448e+00,6.215686830980060584e+00,6.956182024618126292e+00
-6.859694771780583400e-01,2.089704311222504884e+00,4.069555544906822142e+00,6.204689228291873526e+00,6.947618363484552084e+00
-6.773767026071835229e-01,2.105486151092127223e+00,4.090465249534991798e+00,6.231128983149848644e+00,6.961327613324869823e+00
-6.737830947228194978e-01,2.112088459324277689e+00,4.099213623749479396e+00,6.242191742247248598e+00,6.968197042110072736e+00
-6.723434527065987876e-01,2.114733775805411664e+00,4.102718931806984770e+00,6.246624492200840706e+00,6.968197042110072736e+00
-6.593297660933069571e-01,2.138655330774708041e+00,4.134420924344900605e+00,6.286717152704913936e+00,7.007889071694807903e+00
-6.701816276775685033e-01,2.118706469781348023e+00,4.107983294542252750e+00,6.253281831049113393e+00,6.985413974220967326e+00
-6.615058587367483867e-01,2.134654128440009568e+00,4.129117895517137704e+00,6.280010193345415104e+00,7.004424487622422646e+00
