T1,T2,T3,T4,T5
3.306382755303294516e+02,3.306382755303294516e+02,3.306382755303294516e+02,3.306382755303294516e+02,3.391125927075215714e+02
3.306847791842855599e+02,3.306847791842855599e+02,3.306847791842855599e+02,3.306847791842855599e+02,3.393443703539898024e+02
3.306770302955249008e+02,3.306770302955249008e+02,3.306770302955249008e+02,3.306770302955249008e+02,3.394565237794744235e+02
3.307235133134540774e+02,3.307235133134540774e+02,3.307235133134540774e+02,3.307235133134540774e+02,3.396035042808617845e+02
3.306770302955249008e+02,3.306770302955249008e+02,3.306770302955249008e+02,3.306770302955249008e+02,3.396035042808617845e+02
3.307312580772197634e+02,3.307312580772197634e+02,3.307312580772197634e+02,3.307312580772197634e+02,3.397711758979496608e+02
3.307777122356319524e+02,3.307777122356319524e+02,3.307777122356319524e+02,3.307777122356319524e+02,3.398200187700759329e+02
3.307312580772197634e+02,3.307312580772197634e+02,3.307312580772197634e+02,3.307312580772197634e+02,3.398409429618940862e+02
3.307312580772197634e+02,3.307312580772197634e+02,3.307312580772197634e+02,3.307312580772197634e+02,3.398897463343490131e+02
3.308396126832743676e+02,3.308396126832743676e+02,3.308396126832743676e+02,3.308396126832743676e+02,3.400290324661460772e+02
3.307699715924490533e+02,3.307699715924490533e+02,3.307699715924490533e+02,3.307699715924490533e+02,3.400290324661460772e+02
3.308628140393589661e+02,3.308628140393589661e+02,3.308628140393589661e+02,3.308628140393589661e+02,3.401472489109045796e+02
3.309091982599759376e+02,3.309091982599759376e+02,3.309091982599759376e+02,3.309091982599759376e+02,3.402375403814914989e+02
3.309478329587647636e+02,3.309478329587647636e+02,3.309478329587647636e+02,3.309478329587647636e+02,3.402653033388680797e+02
3.308086679462297752e+02,3.308086679462297752e+02,3.308086679462297752e+02,3.308086679462297752e+02,3.400985911951615890e+02
3.309710055731703164e+02,3.309710055731703164e+02,3.309710055731703164e+02,3.309710055731703164e+02,3.402930573482143473e+02
3.310482032253582929e+02,3.310482032253582929e+02,3.310482032253582929e+02,3.310482032253582929e+02,3.404109121799708646e+02
3.310327691554782064e+02,3.310327691554782064e+02,3.310327691554782064e+02,3.310327691554782064e+02,3.404109121799708646e+02
3.310404865315220491e+02,3.310404865315220491e+02,3.310404865315220491e+02,3.310404865315220491e+02,3.404593937810299167e+02
3.311330418663023920e+02,3.311330418663023920e+02,3.311330418663023920e+02,3.311330418663023920e+02,3.405631910515495520e+02
3.312100964190601644e+02,3.312100964190601644e+02,3.312100964190601644e+02,3.312100964190601644e+02,3.407359087126816348e+02
3.311407503830377550e+02,3.311407503830377550e+02,3.311407503830377550e+02,3.311407503830377550e+02,3.406046749268234635e+02
3.310867764656434815e+02,3.310867764656434815e+02,3.310867764656434815e+02,3.310867764656434815e+02,3.405147679050774627e+02
3.312254991709881438e+02,3.312254991709881438e+02,3.312254991709881438e+02,3.312254991709881438e+02,3.406944880912016060e+02
3.312177981347474542e+02,3.312177981347474542e+02,3.312177981347474542e+02,3.312177981347474542e+02,3.406737702978336984e+02
3.312408992056072634e+02,3.312408992056072634e+02,3.312408992056072634e+02,3.312408992056072634e+02,3.407704106649161986e+02
3.312870830151598511e+02,3.312870830151598511e+02,3.312870830151598511e+02,3.312870830151598511e+02,3.407704106649161986e+02
3.313101657602902037e+02,3.313101657602902037e+02,3.313101657602902037e+02,3.313101657602902037e+02,3.409151678764760049e+02
