#Longshot inviscid contour determined from turbulent CFD using SST model. Valid for experiment at low Reynolds number at t=10ms.
#distance_from_throat(m)	radius(m)
-4.2287171e-04	3.2256885e-03
-3.3878859e-04	3.2256473e-03
-2.5512155e-04	3.2258555e-03
-1.7187224e-04	3.2262119e-03
-8.9038030e-05	3.2266174e-03
-6.6143242e-06	3.2269760e-03
6.7675721e-05	3.2271983e-03
1.4270865e-04	3.2273552e-03
2.1849172e-04	3.2275048e-03
2.9503233e-04	3.2277091e-03
3.7233788e-04	3.2280321e-03
4.5041588e-04	3.2285008e-03
5.2927400e-04	3.2291031e-03
6.0891991e-04	3.2298244e-03
6.8936137e-04	3.2306489e-03
7.7060622e-04	3.2315683e-03
8.5266230e-04	3.2325890e-03
9.3553758e-04	3.2337195e-03
1.0192401e-03	3.2349684e-03
1.1037779e-03	3.2363428e-03
1.1891592e-03	3.2378450e-03
1.2753922e-03	3.2394770e-03
1.3624853e-03	3.2412411e-03
1.4504464e-03	3.2431631e-03
1.5392823e-03	3.2452964e-03
1.6290021e-03	3.2476368e-03
1.7196152e-03	3.2501558e-03
1.8111310e-03	3.2528233e-03
1.9035593e-03	3.2556098e-03
1.9969088e-03	3.2585192e-03
2.0911877e-03	3.2615796e-03
2.1864043e-03	3.2648209e-03
2.2825671e-03	3.2682681e-03
2.3796854e-03	3.2719181e-03
2.4777691e-03	3.2757597e-03
2.5768279e-03	3.2797814e-03
2.6768715e-03	3.2839832e-03
2.7779093e-03	3.2883733e-03
2.8799506e-03	3.2929604e-03
2.9830052e-03	3.2977508e-03
3.0870828e-03	3.3027486e-03
3.1921933e-03	3.3079577e-03
3.2983466e-03	3.3133833e-03
3.4055527e-03	3.3190318e-03
3.5138216e-03	3.3249099e-03
3.6231635e-03	3.3310240e-03
3.7335884e-03	3.3373804e-03
3.8451069e-03	3.3439853e-03
3.9577292e-03	3.3508438e-03
4.0714660e-03	3.3579607e-03
4.1863281e-03	3.3653411e-03
4.3023260e-03	3.3729905e-03
4.4194707e-03	3.3809142e-03
4.5377731e-03	3.3891184e-03
4.6572441e-03	3.3976091e-03
4.7778948e-03	3.4063929e-03
4.8997365e-03	3.4154771e-03
5.0227802e-03	3.4248680e-03
5.1470375e-03	3.4345711e-03
5.2725200e-03	3.4445918e-03
5.3992392e-03	3.4549368e-03
5.5272068e-03	3.4656131e-03
5.6564346e-03	3.4766265e-03
5.7869347e-03	3.4879825e-03
5.9187192e-03	3.4996864e-03
6.0518004e-03	3.5117439e-03
6.1861904e-03	3.5241611e-03
6.3219017e-03	3.5369453e-03
6.4589469e-03	3.5501013e-03
6.5973394e-03	3.5636289e-03
6.7370922e-03	3.5775307e-03
6.8782177e-03	3.5918182e-03
7.0207288e-03	3.6065007e-03
7.1646391e-03	3.6215788e-03
7.3099625e-03	3.6370542e-03
7.4567121e-03	3.6529354e-03
7.6049016e-03	3.6692294e-03
7.7545450e-03	3.6859386e-03
7.9056569e-03	3.7030631e-03
